2.7,5,0.142,0.376,2.347,1
2.3,6,0.121,0.268,2.368,1
2.7,5,0.142,0.376,2.347,1
2.4,5,0.126,0.371,2.484,1
2.7,5,0.142,0.376,2.347,1
2.7,4,0.142,0.31,2.105,1
2.7,5,0.142,0.376,2.347,1
2.7,5,0.142,0.376,2.347,1
2.7,5,0.142,0.376,2.347,1
2.45,4,0.129,0.257,2.163,1
2.85,5,0.15,0.39,2.179,1
2.45,5,0.129,0.262,2.237,1
2.7,5,0.142,0.376,2.347,1
2.45,5,0.129,0.309,2.405,1
2.7,5,0.142,0.376,2.347,1
2.75,6,0.145,0.321,2.447,1
2.55,7,0.134,0.332,2.605,1
2.15,8,0.113,0.267,3.279,1
2.5,7,0.132,0.335,2.716,1
2.25,6,0.118,0.367,2.616,1
2.05,8,0.108,0.331,3.389,1
2.7,5,0.142,0.376,2.347,1
2.7,4,0.142,0.259,2.084,1
2.55,4,0.134,0.374,2.221,1
3.1,5,0.163,0.257,2.011,1
3.05,4,0.161,0.315,1.905,1
2.65,6,0.139,0.292,2.4,1
2.7,4,0.142,0.318,2.121,1
2.2,7,0.116,0.367,3.016,1
1.85,7,0.097,0.358,2.937,1
2.55,6,0.134,0.382,2.405,1
2.5,5,0.132,0.283,2.405,1
2.7,5,0.142,0.376,2.347,1
2.3,5,0.121,0.369,2.411,1
2.75,5,0.145,0.382,2.289,2
2.3,6,0.121,0.316,2.526,2
2.4,4,0.126,0.355,2.379,2
2.7,4,0.142,0.287,2.179,2
2.6,4,0.137,0.265,2.168,2
2.7,5,0.142,0.376,2.347,2
2.7,5,0.142,0.376,2.347,2
2.7,5,0.142,0.376,2.347,2
4.05,5,0.213,0.404,1.916,2
2.7,5,0.142,0.376,2.347,2
2.65,4,0.139,0.358,2.132,2
